id;updated;type;band;mode;network;network_id;district;call;city;channel;output;tx_shift;access;status;lat;lng;locator;masl;magl;watt_pep;dir;ant;backup
701;"2020-12-03";"Repeater";70;"FM";"Echolink / SvxReflector";353167;7;"SK7RFL";"Algutsrum / Öland";"RU368";434.6;-2;"1750 / 79.7 / DTMF 0";"QRV";56.6828;16.5646;"JO86GQ";183;134;30;270;"4x Dipol";1
705;"2025-12-07";"Repeater";70;"FM / DMR / C4FM";"Brandmeister";240009;0;"SKØRMT";"Täby";"RU379";434.7375;-2;77;"QRV";59.445;18.075;"JO99AK";40;20;40;"Omni";"";2
706;"2015-07-25";"Link";2;"FM";"Echolink";954346;6;"SM6FZG";"Skårsjön";"";144.55;"Simplex";146.2;"QRV";57.544;12.079;"JO67AN";"";"";"";"";"";0
709;"2016-01-09";"Link";2;"FM";"Echolink";954346;6;"SM6FZG";"Kortedala";"";144.6;"Simplex";146.2;"QRV";57.7613;12.0373;"JO67AS";"";"";"";"";"";0
710;"2015-07-25";"Link";2;"FM";"Echolink";954346;6;"SM6FZG";"Långedrag";"";144.525;"Simplex";146.2;"QRV";57.6694;11.8555;"JO57WQ";"";"";"";"";"";0
711;"2016-01-09";"Link";2;"FM";"Echolink";954346;6;"SM6FZG";"Hönö";"";144.625;"Simplex";146.2;"QRV";57.685;11.6456;"JO57TQ";"";"";"";"N";"3 el. Yagi";0
713;"2022-10-18";"Link";2;"FM";"Echolink";954346;6;"SK6AG";"Guldheden";"";144.575;"Simplex";146.2;"QRV";57.68;11.97;"JO57XQ";120;50;"";"";"";1
714;"2015-07-25";"Link";2;"FM";"Echolink";954346;6;"SM6FZG";"Mölnlycke";"";144.5875;"Simplex";146.2;"QRV";57.6493;12.1142;"JO67BP";"";"";"";"";"";0
716;"2017-05-25";"Link";2;"FM";"Echolink";954346;6;"SM6FZG";"Borås";"";144.5125;"Simplex";146.2;"QRV";57.729;13.05;"JO67MR";"";"";"";"";"";0
720;"2023-03-09";"Repeater";70;"FM / C4FM";"";"";"LA";"LA7OR";"Oslo / Brannfjell";"RU382";434.775;-2;123;"QRV";59.896;10.792;"JO59JV";370;"";"";"Omni";"";2
721;"2023-03-09";"Repeater";2;"FM";"";"";"LA";"LA5OR";"Oslo / Tryvann";"RV48";145.6;-0.6;123;"QRV";59.979;10.708;"JO59IX";538;"";"";"";"";2
722;"2025-05-24";"Repeater";2;"FM";"";"";7;"SK7RFH";"Nässjö";"RV52";145.65;-0.6;"1750 / 156.7 / DTMF 6";"QRV";57.65;14.7;"JO77IP";520;175;40;"Omni";"Dipol";1
723;"2018-07-22";"Repeater";2;"FM";"Echolink";95111;"LA";"LA5BR";"Bergen / Rundemannen";"RV60";145.75;-0.6;"1750 / 97.4";"QRV";60.3958;5.375;"JP20QJ";550;"";"";"";"";0
724;"2018-07-22";"Repeater";70;"FM";"";"";"LA";"LA7BR";"Bergen / Ørnfjell";"RU376";434.7;-2;"1750 / 97.4";"QRT";60.3958;5.2083;"JP20OJ";340;"";"";"";"";0
725;"2018-07-22";"Repeater";2;"FM";"";"";"LA";"LA8SR";"Stavanger / Bokn";"RV62";145.775;-0.6;"88.5 ";"QRV";59.2218;5.4244;"JO29RF";200;"";"";"";"";0
726;"2018-07-22";"Repeater";2;"FM / C4FM";"Wires-X";31480;"LA";"LA6ER";"Egersund / Gaupelemfjell";"RV58";145.725;-0.6;107.2;"QRV";58.6042;6.2916;"JO38DO";850;"";"";"";"";0
727;"2018-07-22";"Repeater";70;"FM";"";"";"LA";"LA5CR";"Hå / Våland";"RU374";434.675;-2;107.2;"QRV";58.6458;5.7083;"JO28UP";"";"";"";"";"";0
728;"2018-07-22";"Repeater";2;"FM";"";"";"LA";"LA8GR";"Bergen / Gulen";"RV62";145.775;-0.6;97.4;"QRV";61.0625;5.125;"JP21NA";723;"";"";"";"";0
729;"";"Repeater";6;"FM";"";"";"LA";"LA5UR";"Sandefjord / Kjerringfjell";"RF81";51.81;-0.6;1750;"QRT";59.0208;10.2083;"JO59CA";131;"";"";"";"";0
730;"2025-06-04";"Repeater";2;"DMR";"Brandmeister";240333;3;"SK3WH";"Örnsköldsvik";"RV46";145.575;-0.6;"CC 3";"QRT";63.2963;18.7318;"JP93IH";68;15;"";"Omni";"7 dBi";2
733;"2025-08-18";"Repeater";23;"FM";"";"";6;"SK6RKI";"Guldheden";"RM6";1297.15;-6;1750;"QRT";57.6785;11.9787;"JO57XQ";120;50;"";"";"";0
734;"2021-03-31";"Repeater";2;"FM";"SvxReflector";"";6;"SK6IF/R";"Bokenäs";"RV48";145.6;-0.6;"1750 / 118.8 / DTMF 4";"QRV";58.31;11.64;"JO58TH";"";"";25;"";"";0
735;"2021-03-31";"Repeater";70;"FM";"SvxReflector";"";6;"SK6IF/R";"Lysekil";"RU384";434.8;-2;118.8;"QRV";58.2755;11.4355;"JO58RG";"";"";"";"";"";0
739;"2025-12-19";"Repeater";2;"FM";"SvxReflector";"";5;"SK5LF-2";"Linköping";"RV50";145.625;-0.6;"82.5 / DTMF 5";"QRT";58.56;15.542;"JO78SN";275;130;50;"160°";"8 dBi";2
740;"2017-12-17";"Repeater";70;"DMR";"Brandmeister";240082;0;"SKØRYG";"Stockholm city";"RU397";434.9625;-2;"CC 0";"QRV";59.3345;18.0636;"JO99AI";"";"";"";"";"";0
741;"2014-10-27";"Repeater";70;"DMR";"";"";"OZ";"OZ6DMR";"Helsingør";"RU371";434.6375;-2;"";"QRV";56.0228;12.5573;"JO66GA";90;25;40;"Omni";"Diamond X-300N";0
743;"2021-02-09";"Repeater";70;"FM / DMR / D-Star";"Brandmeister";240607518;6;"SA6APY";"Skara";"RU399";434.9875;-2;"114.8 / CC 6";"QRV";58.4;13.46;"JO68RJ";143;30;50;"Omni";"9 dBi";1
744;"2014-10-04";"Repeater";70;"DMR";"Brandmeister";240701;7;"SK7RJL";"Lund";"RU367";434.5875;-2;"CC 7";"QRV";55.7348;13.2308;"JO65OR";"";42;40;"";"";0
745;"2020-12-15";"Repeater";70;"DMR";"Brandmeister";240610;6;"SM6TKT/R";"Borås";"RU364";434.55;-2;"CC 6";"QRV";57.742;13.005;"JO67MR";160;20;180;"Omni";"X-510";2
747;"2020-09-19";"Repeater";70;"DMR";"Brandmeister";240617;6;"SK6DG";"Alingsås";"RU363";434.5375;-2;"CC 6";"QRV";57.9151;12.5195;"JO67GV";"";60;30;"";"";2
748;"2017-01-04";"Repeater";70;"DMR";"Brandmeister";240707;7;"SG7RFH";"Nässjö";"RU392";434.9;-2;"CC 7";"QRV";57.65;14.7;"JO77IP";"";"";"";"";"";0
749;"2017-01-04";"Repeater";70;"DMR";"Brandmeister";240706;7;"SG7BNT";"Bruzaholm";"RU368";434.6;-2;"CC 7";"QRV";57.6436;15.2712;"JO77PP";"";"";8;"";"Diamond X-510";0
750;"2024-02-25";"Repeater";70;"DMR";"Brandmeister";238420;"OZ";"OZ0KAR";"Herlev";"RU370";434.625;-2;"CC 14";"QRV";55.7315;12.4438;"JO65FR";30;150;25;"Omni";"5 dB";0
751;"2017-12-25";"Repeater";70;"DMR";"Brandmeister";240007;0;"SMØWIU/R";"Nynäshamn";"RU369";434.6125;-2;"CC 0";"QRV";58.909;17.946;"JO88XV";"";"";50;"North";"Aerial OY AV1914-H (4 stack 10dBi)";0
752;"2017-12-25";"Repeater";70;"DMR";"Brandmeister";240003;0;"SMØWIU/R";"Botkyrka";"RU390";434.875;-2;"CC 0";"QRV";59.2507;17.879;"JO89WG";100;20;100;"";"Aerial OY AV1914-H (4 stack 10dBi)";0
753;"2020-04-04";"Repeater";70;"C4FM";"Brandmeister";"";0;"SKØNN";"Haninge";"RU363";434.5375;-2;"";"QRV";59.2404;18.2061;"JO99CF";100;"";100;180;"";0
755;"2020-11-18";"Repeater";70;"DMR";"DMR Plus";240010;0;"SKØRMQ";"Tyresö";"RU361";434.5125;-2;"CC 12";"QRV";59.2975;18.173;"JO99CH";100;39;350;180;"4x Dipole";2
756;"2025-01-09";"Repeater";70;"DMR";"Brandmeister";240201;2;"SK2RGJ";"Kiruna";"RU361";434.5125;-2;"CC 2";"QRV";67.8314;20.1876;"KP07CT";550;"";"";"";"";2
757;"2016-10-25";"Repeater";70;"DMR";"Brandmeister";240401;4;"SK4BW";"Borlänge";"RU388";434.85;-2;"CC 12";"QRV";60.4014;15.465;"JP70RJ";308;14;50;"Omni";"Aeriel OY 1914";0
758;"2022-10-19";"Repeater";70;"DMR";"Brandmeister";240602;6;"SK6AG";"Guldheden";"RU383";434.7875;-2;"CC 6";"QRV";57.6785;11.9787;"JO57XQ";120;50;25;"";"";0
759;"2023-08-12";"Repeater";2;"DMR";"Brandmeister";240412;0;"SMØWIU-4";"Högdalen";"RV46";145.575;-0.6;"CC 0";"QRV";59.249;18.0719;"JO99AF";90;10;100;"Omni";"";2
760;"2016-08-17";"Repeater";70;"DMR";"FinDMR";244300;"OH3";"OH3RNE";"Tampere / Hervanta";"RU362";434.525;-2;"CC 1";"QRV";61.4536;23.8323;"KP11VK";225;70;30;"";"Kathrein K 75 16 2 21";0
761;"2017-09-05";"Repeater";70;"DMR";"FinDMR";244310;"OH3";"OH3RNE";"Tampere / Tesoma";"RU364";434.55;-2;"CC 1";"QRV";61.5077;23.6207;"KP11TM";183;30;45;"";"Aerial OY AV1914 (4 stack 7dBi)";0
763;"2025-10-05";"Repeater";2;"FM";"SvxReflector";"";5;"SK5RKM-2";"Mariefred";"RV56";145.7;-0.6;82.5;"QRV";59.2579;17.2222;"JO89OG";"";"";80;"Omni";"";2
764;"2020-11-19";"Repeater";70;"DMR";"Brandmeister";240420;4;"SK4WV";"Vansbro";"RU373";434.6625;-2;"CC 4";"QRV";60.505;14.0315;"JP70AM";"";113;50;"";"";0
765;"2023-07-18";"Hotspot";70;"DMR";"Brandmeister";24051392;5;"SA5HAV";"Uppsala";"";434.375;"Simplex";"CC 5";"QRV";59.9511;17.82;"JO89VW";"";"";"";180;"";2
766;"2018-02-27";"Repeater";2;"DMR";"Brandmeister";240708;7;"SG7RFH";"Nässjö";"RV47";145.5875;-0.6;"CC 7";"QRV";57.65;14.7;"JO77IP";340;30;20;"Omni";"2 stack";0
770;"2025-11-11";"Repeater";2;"FM";"SvxReflector";"";0;"SKØRIX";"Stockholm";"RV50";145.625;-0.6;77;"QRV";59.3074;18.0123;"JO99AH";147;120;25;"Omni";"11.7 dBi";2
771;"2023-02-24";"Repeater";70;"DMR";"Brandmeister";240305;3;"SK3GK";"Gävle";"RU376";434.7;-2;"CC 3";"QRV";60.6402;17.1335;"JP80NP";96;12;25;"Omni";"7 dBi";2
772;"2017-10-08";"Repeater";70;"DMR";"Brandmeister";244002;"OH0";"OH0RUB";"Jomala";"RU364";434.55;-2;"CC 1";"QRV";60.13;19.93;"JP90XD";"";"";30;"";"Aerial OY AV1914-H (4 stack 10dBi)";0
773;"2017-12-25";"Repeater";70;"DMR";"Brandmeister";242102;"LA";"LA5YR";"Follo / Enebakk";"RU392";434.9;-2;"CC 1";"QRV";59.7708;11.0417;"JO59MS";350;"";"";"";"";0
774;"2017-12-25";"Repeater";70;"DMR";"Brandmeister";242650;"LA";"LD3DV";"Drammen / Vardåsen";"RU362";434.525;-2;"CC 1";"QRV";59.7559;10.2049;"JO59CS";280;12;"";"";"";0
775;"2025-05-26";"Repeater";70;"DMR";"Brandmeister";240025;0;"SGØRPF";"Rimbo";"RU383";434.7875;-2;"CC 0";"QRV";59.7984;18.1559;"JO99BT";15;10;10;"Omni";"X-510";2
