Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
132,KUNGAL,145.6125,-,0.6,Tone,114.8,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK6RPE | RV49 | Kungälv | D6,,,,
133,ALINGS,145.625,-,0.6,Tone,114.8,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK6RIC | RV50 | Alingsås | D6,,,,
134,STENUN,145.7125,-,0.6,Tone,114.8,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK6QA/R | RV57 | Stenungsund | SVXReflector / Echolink / BM. | D6,,,,
135,TROLLH,145.7625,-,0.6,Tone,114.8,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK6DW/R | RV61 | Trollhättan | D6,,,,
136,TANUMS,145.575,-,0.6,Tone,118.8,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK6IF | RV46 | Tanumshede | SvxReflector / Brandmeister | D6,,,,
137,BENGTS,145.7,-,0.6,Tone,118.8,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK6RFP | RV56 | Bengtsfors | Brandmeister | D6,,,,
138,BORAS,145.2875,-,0.6,Tone,118.8,88.5,23,NN,23,Tone->Tone,NFM,5.0,S,25W,SA6BWX | Borås | SvxReflector | D6,,,,
139,BORAS1,145.775,-,0.6,Tone,114.8,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK6LK/R | RV62 | Borås | D6,,,,
140,BORAS2,144.5125,-,0.6,Tone,146.2,88.5,23,NN,23,Tone->Tone,NFM,5.0,S,25W,SM6FZG | Borås | Echolink | D6,,,,
141,ULRICE,145.675,-,0.6,Tone,118.8,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SM6UXW/R | RV54 | Ulricehamn | Wires-X | D6,,,,
142,TIDAHO,145.6375,-,0.6,Tone,118.8,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK6MA/R | RV51 | Tidaholm / Hökensås | D6,,,,
143,HJO,145.2375,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,S,25W,SM6VAG | Hjo | SvxReflector | D6,,,,
144,KINNEK,145.6,-,0.6,Tone,114.8,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK6ROY | RV48 | Kinnekulle | D6,,,,
145,SKOVDE,145.6875,-,0.6,Tone,114.8,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SM6THE/R | RV55 | Skövde | D6,,,,
146,KARLSB,145.7625,-,0.6,Tone,94.8,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK6WW/R | RV61 | Karlsborg | D6,,,,
147,LUNDHA,145.775,-,0.6,Tone,79.7,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7REP | RV62 | Lund / Harderberga | D7,,,,
148,SODERA,145.65,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7REE | RV52 | Söderåsen / Stenestad | SvxReflector | D7,,,,
149,VITABY,145.6125,-,0.6,Tone,79.7,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7RNQ | RV49 | Vitaby | D7,,,,
150,EVEROD,145.2375,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,S,25W,SM7FLD | Everöd | SVXReflector | D7,,,,
151,KRISTI,145.7375,-,0.6,Tone,79.7,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7BQ/R | RV59 | Kristianstad | SvxReflector | D7,,,,
152,OLOFST,145.7,-,0.6,Tone,67.0,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7RGM | RV56 | Olofström / Boafallsbacke | Echolink | D7,,,,
153,KARLS1,145.75,-,0.6,Tone,156.7,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7RFJ | RV60 | Karlskrona | D7,,,,
154,HALLAN,145.7875,-,0.6,Tone,225.7,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7RQX | RV63 | Hallandsås | SvxReflector | D7,,,,
155,LJUNGB,145.725,-,0.6,Tone,94.8,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7MO/R | RV58 | Ljungby | SvxReflector / Echolink | D7,,,,
156,BREDAR,145.6875,-,0.6,Tone,156.7,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK7GH/R | RV55 | Bredaryd | D7,,,,
